,x,y,z,yaw,time
0,0.0,0.0,1.015,-0.1140728245070587,0.0
1,1.7000120751800547,-0.36057695182649663,0.8582098170835728,-0.7170639893198438,1.7448896685479718
2,1.8314469798789181,-0.2098292625347509,0.8582098170835728,-0.7170639893198438,1.944889668547972
3,1.9628818845777816,-0.05908157324300514,0.8582098170835728,-0.7170639893198438,2.144889668547972
4,3.977680964796937,1.7216242540239781,0.9449873646596831,1.1350544653780872,4.835216585425895
5,3.7963695318651665,1.8060408654711813,0.9449873646596831,1.1350544653780872,5.0352165854258955
6,3.615058098933396,1.8904574769183844,0.9449873646596831,1.1350544653780872,5.235216585425896
7,2.1275247363826395,3.177225809328612,0.8962654105771563,-3.9943110615772426,7.20267740455419
8,1.976910390281935,3.045638124689596,0.8962654105771563,-3.9943110615772426,7.40267740455419
9,1.8262960441812306,2.9140504400505796,0.8962654105771563,-3.9943110615772426,7.60267740455419
10,0.27550022961575843,1.5025971402526923,0.8906862735342486,-2.445088050258326,9.699627380770664
11,0.40380829569405075,1.3491792789090777,0.8906862735342486,-2.445088050258326,9.899627380770664
12,0.532116361772343,1.1957614175654632,0.8906862735342486,-2.445088050258326,10.099627380770663
13,0.0,0.0,1.0,0.0,11.412998113274563
