,x,y,z
23813,-5.1499435946277625,-0.06604138664601383,1
23814,-5.147734858427029,-0.06638840783621035,1
23815,-5.145526076497807,-0.0667356049765628,1
23816,-5.1433172489858725,-0.06708297742681994,1
23817,-5.141108376036997,-0.06743052454673244,1
23818,-5.138899457796978,-0.06777824569604715,1
23819,-5.136690494411593,-0.06812614023451348,1
23820,-5.134481486026621,-0.06847420752188028,1
23821,-5.13227243278784,-0.06882244691789728,1
23822,-5.130063334841042,-0.06917085778231162,1
23823,-5.127854192332007,-0.06951943947487278,1
23824,-5.125645005406507,-0.06986819135533057,1
23825,-5.1234357742103365,-0.07021711278343162,1
23826,-5.121226498889274,-0.07056620311892593,1
23827,-5.119017179589101,-0.07091546172156249,1
23828,-5.116807816455593,-0.07126488795109086,1
23829,-5.1145984096345405,-0.07161448116725752,1
23830,-5.112388959271728,-0.07196424072981272,1
23831,-5.110179465512923,-0.07231416599850612,1
23832,-5.107969928503925,-0.07266425633308399,1
23833,-5.1057603483905085,-0.07301451109329703,1
23834,-5.103550725318446,-0.07336492963889474,1
23835,-5.101341059433538,-0.07371551132962299,1
23836,-5.099131350881556,-0.0740662555252329,1
23837,-5.096921599808285,-0.07441716158547211,1
23838,-5.094711806359498,-0.07476822887009182,1
23839,-5.092501970680992,-0.07511945673883703,1
23840,-5.09029209291854,-0.0754708445514588,1
23841,-5.088082173217923,-0.07582239166770652,1
23842,-5.0858722117249275,-0.07617409744732695,1
23843,-5.083662208585338,-0.07652596125007018,1
23844,-5.08145216394493,-0.07687798243568399,1
23845,-5.079242077949482,-0.07723016036391979,1
23846,-5.077031950744791,-0.0775824943945226,1
23847,-5.0748217824766275,-0.07793498388724365,1
23848,-5.072611573290771,-0.07828762820183227,1
23849,-5.070401323333014,-0.07864042669803509,1
23850,-5.068191032749135,-0.07899337873560143,1
23851,-5.065980701684914,-0.07934648367428083,1
23852,-5.063770330286127,-0.07969974087382306,1
23853,-5.0615599186985705,-0.08005314969397433,1
23854,-5.059349467068018,-0.0804067094944849,1
23855,-5.057138975540247,-0.08076041963510452,1
23856,-5.05492844426105,-0.08111427947557943,1
23857,-5.052717873376205,-0.0814682883756602,1
23858,-5.0505072630314904,-0.08182244569509521,1
23859,-5.0482966133726865,-0.0821767507936343,1
23860,-5.0460859245455865,-0.08253120303102408,1
23861,-5.043875196695965,-0.0828858017670143,1
23862,-5.0416644299696,-0.08324054636135526,1
23863,-5.039453624512283,-0.08359543617379335,1
23864,-5.037242780469792,-0.08395047056407866,1
23865,-5.035031897987909,-0.0843056488919594,1
23866,-5.032820977212409,-0.08466097051718582,1
23867,-5.030610018289088,-0.08501643479950428,1
23868,-5.028399021363721,-0.08537204109866536,1
23869,-5.026187986582082,-0.08572778877441793,1
23870,-5.023976914089968,-0.08608367718650932,1
23871,-5.021765804033154,-0.08643970569468941,1
23872,-5.019554656557421,-0.08679587365870643,1
23873,-5.017343471808547,-0.08715218043831029,1
23874,-5.015132249932326,-0.08750862539324834,1
23875,-5.012920991074533,-0.08786520788326974,1
23876,-5.010709695380944,-0.08822192726812485,1
23877,-5.008498362997354,-0.08857878290755974,1
23878,-5.006286994069539,-0.08893577416132478,1
23879,-5.00407558874328,-0.08929290038916841,1
23880,-5.001864147164352,-0.0896501609508406,1
23881,-4.999652669478555,-0.09000755520608814,1
23882,-4.997441155831658,-0.09036508251466063,1
23883,-4.995229606369439,-0.09072274223630802,1
23884,-4.993018021237695,-0.09108053373077722,1
23885,-4.9908064005821995,-0.09143845635781761,1
23886,-4.9885947445487355,-0.0917965094771782,1
23887,-4.9863830532830775,-0.09215469244860881,1
23888,-4.984171326931022,-0.09251300463185663,1
23889,-4.981959565638343,-0.09287144538667023,1
23890,-4.979747769550816,-0.09323001407280086,1
23891,-4.97753593881424,-0.09358871004999415,1
23892,-4.975324073574386,-0.09394753267800053,1
23893,-4.9731121739770385,-0.09430648131656855,1
23894,-4.97090024016797,-0.0946655553254485,1
23895,-4.9686882722929795,-0.09502475406438615,1
23896,-4.966476270497841,-0.09538407689313198,1
23897,-4.96426423492833,-0.09574352317143542,1
23898,-4.962052165730241,-0.09610309225904368,1
23899,-4.959840063049351,-0.09646278351570645,1
23900,-4.9576279270314325,-0.09682259630117315,1
23901,-4.955415757822285,-0.09718252997519082,1
23902,-4.953203555567682,-0.09754258389750953,1
23903,-4.950991320413404,-0.09790275742787723,1
23904,-4.94877905250523,-0.09826304992604437,1
23905,-4.94656675198895,-0.09862346075175807,1
23906,-4.944354419010346,-0.0989839892647672,1
23907,-4.9421420537151874,-0.09934463482482211,1
23908,-4.939929656249273,-0.09970539679166956,1
23909,-4.9377172267583775,-0.10006627452505912,1
23910,-4.935504765388284,-0.10042726738473938,1
23911,-4.933292272284766,-0.10078837473046068,1
23912,-4.93107974759362,-0.10114959592196958,1
23913,-4.928867191460621,-0.10151093031901597,1
23914,-4.926654604031545,-0.10187237728134928,1
23915,-4.924441985452186,-0.10223393616871652,1
23916,-4.9222293358683205,-0.10259560634086759,1
23917,-4.920016655425731,-0.10295738715755097,1
23918,-4.917803944270192,-0.10331927797851678,1
23919,-4.9155912025475,-0.10368127816351146,1
23920,-4.913378430403429,-0.10404338707228489,1
23921,-4.911165627983755,-0.10440560406458749,1
23922,-4.908952795434274,-0.10476792850016488,1
23923,-4.906739932900759,-0.10513035973876769,1
23924,-4.904527040528996,-0.1054928971401444,1
23925,-4.9023141184647585,-0.10585554006404492,1
23926,-4.900101166853841,-0.10621828787021605,1
23927,-4.897888185842021,-0.10658113991840727,1
23928,-4.895675175575072,-0.10694409556836867,1
23929,-4.893462136198789,-0.10730715417984697,1
23930,-4.891249067858949,-0.10767031511259209,1
23931,-4.889035970701334,-0.10803357772635247,1
23932,-4.886822844871717,-0.10839694138087795,1
23933,-4.884609690515898,-0.10876040543591561,1
23934,-4.882396507779648,-0.10912396925121501,1
23935,-4.8801832968087435,-0.10948763218652637,1
23936,-4.877970057748983,-0.10985139360159539,1
23937,-4.875756790746138,-0.11021525285617302,1
23938,-4.873543495945991,-0.11057920931000766,1
23939,-4.87133017349432,-0.11094326232284864,1
23940,-4.869116823536919,-0.11130741125444309,1
23941,-4.866903446219562,-0.11167165546454118,1
23942,-4.864690041688026,-0.11203599431289232,1
23943,-4.862476610088105,-0.11240042715924317,1
23944,-4.860263151565578,-0.11276495336334331,1
