,x,y,z,yaw
1477,2.545433434263442,-0.045120195206895974,1.0196900341249413,-1.2965990249181991
1478,2.547410258317875,-0.04519983637898395,1.0197436680722605,-1.2976776840847664
1479,2.5493870274925365,-0.045278782242033466,1.0197971771027763,-1.2987543572907385
1480,2.5513637407698044,-0.04535703175942957,1.0198505613091342,-1.2998290445361134
1481,2.5533403971320583,-0.04543458389455707,1.0199038207839795,-1.3009017458208922
1482,2.5553169955616752,-0.04551143761080095,1.0199569556199577,-1.3019724611450738
1483,2.5572935350410346,-0.045587591871545985,1.020009965909714,-1.3030411905086594
1484,2.5592700145525153,-0.045663045640177424,1.0200628517458938,-1.3041079339116477
1485,2.5612464330784954,-0.04573779788007998,1.0201156132211424,-1.30517269135404
1486,2.5632227896013533,-0.045811847554638796,1.0201682504281049,-1.306235462835836
1487,2.565199083103468,-0.04588519362723892,1.0202207634594265,-1.3072962483570354
1488,2.567175312567217,-0.04595783506126516,1.0202731524077522,-1.308355047917638
1489,2.56915147697498,-0.0460297708201029,1.0203254173657277,-1.3094118615176438
1490,2.571127575309135,-0.04610099986713678,1.0203775584259975,-1.3104666891570536
1491,2.5731036065520603,-0.046171521165752294,1.020429575681207,-1.3115195308358665
1492,2.5750795696861344,-0.04624133367933414,1.0204814692240007,-1.3125703865540834
1493,2.577055463693736,-0.04631043637126764,1.0205332391470243,-1.3136192563117035
1494,2.579031287557244,-0.04637882820493783,1.0205848855429225,-1.3146661401087272
1495,2.5810070402590357,-0.04644650814372997,1.0206364085043398,-1.315711037945153
1496,2.582982720781491,-0.04651347515102905,1.0206878081239215,-1.316753949820984
1497,2.5849583281069872,-0.04657972819022027,1.0207390844943123,-1.317794875736218
1498,2.5869338612179034,-0.046645266224688786,1.0207902377081568,-1.3188338156908554
1499,2.5889093190966186,-0.0467100882178198,1.0208412678581,-1.3198707696848961
1500,2.5908847007255096,-0.04677419313299852,1.0208921750367868,-1.3209057377183395
1501,2.5928600050869566,-0.04683757993361015,1.0209429593368615,-1.3219387197911878
1502,2.594835231163337,-0.04690024758304001,1.020993620850969,-1.3229697159034388
1503,2.5968103779370297,-0.046962195044673194,1.0210441596717539,-1.3239987260550938
